PROY,Residencia,SEGMENTO,PARTIDA,INI,FIN,Fecha,CANT,UNIDAD,MES,MES LETRA,MONTO
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.7,437.7,NA,30/10/2023,4,Medici�n,10,oct-23,10040
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.11,437.7,NA,31/10/2023,80.43,m2,10,oct-23,90279
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4_10,437.7,NA,31/10/2023,80.43,m2,10,oct-23,181182
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.12,437.7,NA,31/10/2023,80.813,m2,10,oct-23,265341
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.16,437.7,NA,31/10/2023,556.82,m3,10,oct-23,275609
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.15,437.7,NA,31/10/2023,143,m3,10,oct-23,15867
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.3,2844.8,NA,12/10/2023,720,m2,10,oct-23,110736
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.11,2844.8,NA,26/10/2023,546.11,m3,10,oct-23,149028
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.12,2844.8,NA,26/10/2023,112.2,m3,10,oct-23,36680
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.7,2844.8,NA,30/10/2023,4,Medici�n,10,oct-23,10040
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.11,2844.8,NA,27/10/2023,68.94,m2,10,oct-23,77382
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4_10,2844.8,NA,30/10/2023,68.94,m2,10,oct-23,155299
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.12,2844.8,NA,30/10/2023,69.323,m2,10,oct-23,227614
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.16,2844.8,NA,31/10/2023,546.11,m3,10,oct-23,270308
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.15,2844.8,NA,31/10/2023,112.2,m3,10,oct-23,12450
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.3,4645.9,NA,04/10/2023,720,m2,10,oct-23,110736
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.11,4645.9,NA,10/10/2023,578.24,m3,10,oct-23,157796
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.12,4645.9,NA,10/10/2023,178.2,m3,10,oct-23,58257
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.7,4645.9,NA,30/10/2023,4,Medici�n,10,oct-23,10040
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.11,4645.9,NA,14/10/2023,82.345,m2,10,oct-23,92429
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4_10,4645.9,NA,30/10/2023,82.345,m2,10,oct-23,185496
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.12,4645.9,NA,30/10/2023,82.728,m2,10,oct-23,271628
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.16,4645.9,NA,31/10/2023,578.24,m3,10,oct-23,286211
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.15,4645.9,NA,31/10/2023,178.2,m3,10,oct-23,19773
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.3,4756.3,NA,11/10/2023,720,m2,10,oct-23,110736
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.11,4756.3,NA,23/10/2023,556.82,m3,10,oct-23,151951
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.12,4756.3,NA,23/10/2023,143,m3,10,oct-23,46750
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.7,4756.3,NA,30/10/2023,4,Medici�n,10,oct-23,10040
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.11,4756.3,NA,27/10/2023,68.94,m2,10,oct-23,77382
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4_10,4756.3,NA,30/10/2023,68.94,m2,10,oct-23,155299
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.12,4756.3,NA,30/10/2023,69.323,m2,10,oct-23,227614
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.16,4756.3,NA,31/10/2023,556.82,m3,10,oct-23,275609
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,7.15,4756.3,NA,31/10/2023,143,m3,10,oct-23,15867
CENAGAS,Salamanca,GSD 24 LA JOYA-MESON NUEVO,4.1,0,11900,13/12/2023,11.9,Km,12,dic-23,55128
CENAGAS,Salamanca,RAMAL 24 LA LA JOYA-MESON NUEVO,6.2,540,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,RAMAL 24 LA LA JOYA-MESON NUEVO,6.2,3274,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,RAMAL 24 LA LA JOYA-MESON NUEVO,6.2,6665,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,RAMAL 24 LA LA JOYA-MESON NUEVO,6.2,12105,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,RAMAL 24 LA LA JOYA-MESON NUEVO,6.2,23603,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,RAMAL 24 LA LA JOYA-MESON NUEVO,6.2,26126,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,GSD 24 ZIRAHUEN-NUEVA ITALIA,6.2,252000,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,GSD 24 ZIRAHUEN-NUEVA ITALIA,6.2,256000,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,GSD 24 ZIRAHUEN-NUEVA ITALIA,6.2,272000,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Salamanca,GSD 24 ARTEAGA-LAZARO CARDENAS,6.2,439000,NA,13/12/2023,1,pza,12,dic-23,45073
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,486691,487650,15/06/2023,0.959,Km,6,jun-23,1391
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,487650,492550,16/06/2023,4.9,Km,6,jun-23,7109
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,492550,495355,19/06/2023,2.805,Km,6,jun-23,4070
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,495355,500380,20/06/2023,5.025,Km,6,jun-23,7291
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,500380,502380,21/06/2023,2,Km,6,jun-23,2902
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,502380,504600,22/06/2023,2.22,Km,6,jun-23,3221
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,504600,507562,23/06/2023,2.962,Km,6,jun-23,4298
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,507562,508925,27/06/2023,1.363,Km,6,jun-23,1978
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,508925,510600,28/06/2023,1.675,Km,6,jun-23,2430
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,510600,511600,05/07/2023,1,Km,7,jul-23,1451
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,511600,513000,06/07/2023,1.4,Km,7,jul-23,2031
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,513000,515000,07/07/2023,2,Km,7,jul-23,2902
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,515000,517000,27/07/2023,2,Km,7,jul-23,2902
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,519000,522550,27/07/2023,3.55,Km,7,jul-23,5151
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,526850,530850,01/08/2023,4,Km,8,ago-23,5804
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,530850,533850,03/08/2023,3,Km,8,ago-23,4353
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,533850,539000,04/08/2023,5.15,Km,8,ago-23,7472
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,539000,543000,08/08/2023,4,Km,8,ago-23,5804
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,543000,547000,09/08/2023,4,Km,8,ago-23,5804
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,547000,550000,10/08/2023,3,Km,8,ago-23,4353
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.2,550000,554054,11/08/2023,4.054,Km,8,ago-23,5882
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,486691,490264,18/07/2023,3.573,Km,7,jul-23,29044
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,493331,496810,26/07/2023,3.479,Km,7,jul-23,28280
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,496810,501443,28/07/2023,4.633,Km,7,jul-23,37661
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,501443,507562,31/07/2023,6.119,Km,7,jul-23,49740
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,507562,511770,18/08/2023,4.208,Km,8,ago-23,34206
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,511770,513900,19/08/2023,2.13,Km,8,ago-23,17314
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,486700,489000,26/06/2023,3,Medici�n,6,jun-23,2974
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,489000,493000,10/07/2023,4,Medici�n,7,jul-23,3966
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,493000,497000,11/07/2023,4,Medici�n,7,jul-23,3966
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,497000,501000,12/07/2023,4,Medici�n,7,jul-23,3966
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,501000,505000,13/07/2023,4,Medici�n,7,jul-23,3966
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,505000,510000,14/07/2023,5,Medici�n,7,jul-23,4957
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,510000,515000,17/07/2023,5,Medici�n,7,jul-23,4957
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,516000,519000,28/07/2023,3,Medici�n,7,jul-23,2974
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,520000,527000,02/08/2023,4,Medici�n,8,ago-23,3966
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,528000,529000,05/08/2023,3,Medici�n,8,ago-23,2974
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,531000,534000,07/08/2023,4,Medici�n,8,ago-23,3966
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,535000,539000,12/08/2023,5,Medici�n,8,ago-23,4957
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,540000,544000,15/08/2023,5,Medici�n,8,ago-23,4957
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,545000,549000,16/08/2023,5,Medici�n,8,ago-23,4957
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.6,550000,554000,17/08/2023,5,Medici�n,8,ago-23,4957
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.8,0,0,26/06/2023,5,Medici�n,6,jun-23,17927
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,486691,487691,15/06/2023,1,Medici�n,6,jun-23,397
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,487650,492550,16/06/2023,4,Medici�n,6,jun-23,1588
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,492550,495355,19/06/2023,4,Medici�n,6,jun-23,1588
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,495355,500380,20/06/2023,4,Medici�n,6,jun-23,1588
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,500380,502380,21/06/2023,1,Medici�n,6,jun-23,397
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,502380,504600,22/06/2023,3,Medici�n,6,jun-23,1191
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,509000,509000,23/06/2023,1,Medici�n,6,jun-23,397
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,510000,510000,27/06/2023,1,Medici�n,6,jun-23,397
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,511000,511000,28/06/2023,1,Medici�n,6,jun-23,397
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,510600,511600,05/07/2023,2,Medici�n,7,jul-23,794
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,511600,513000,06/07/2023,1,Medici�n,7,jul-23,397
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,513000,515000,07/07/2023,2,Medici�n,7,jul-23,794
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,0,0,27/07/2023,7,Medici�n,7,jul-23,2778
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,528000,531000,01/08/2023,3,Medici�n,8,ago-23,1191
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,532000,532000,03/08/2023,1,Medici�n,8,ago-23,397
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,534000,539000,04/08/2023,4,Medici�n,8,ago-23,1588
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,540000,543000,08/08/2023,4,Medici�n,8,ago-23,1588
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,547000,550000,10/08/2023,5,Medici�n,8,ago-23,1985
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,551000,554000,11/08/2023,4,Medici�n,8,ago-23,1588
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,487050,487130,15/06/2023,96,m2,6,jun-23,6112
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,487150,487414,15/06/2023,316.8,m2,6,jun-23,20171
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,488300,488430,16/06/2023,156,m2,6,jun-23,9933
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,490720,490950,16/06/2023,276,m2,6,jun-23,17573
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,492010,492100,16/06/2023,108,m2,6,jun-23,6876
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,492270,492550,16/06/2023,336,m2,6,jun-23,21393
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,492700,492763,19/06/2023,75.6,m2,6,jun-23,4813
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,493710,493800,19/06/2023,108,m2,6,jun-23,6876
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,493810,493880,19/06/2023,84,m2,6,jun-23,5348
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,499200,499320,20/06/2023,144,m2,6,jun-23,9168
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,499860,499990,20/06/2023,156,m2,6,jun-23,9933
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,502050,502380,21/06/2023,396,m2,6,jun-23,25213
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,502380,502565,22/06/2023,222,m2,6,jun-23,14135
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,503350,503490,22/06/2023,168,m2,6,jun-23,10697
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,503750,503900,22/06/2023,180,m2,6,jun-23,11461
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,503920,504100,22/06/2023,216,m2,6,jun-23,13753
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,504190,504350,22/06/2023,192,m2,6,jun-23,12225
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,505980,506120,23/06/2023,168,m2,6,jun-23,10697
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,506150,506320,23/06/2023,204,m2,6,jun-23,12989
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,508060,508200,27/06/2023,168,m2,6,jun-23,10697
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,508500,508580,27/06/2023,96,m2,6,jun-23,6112
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,509050,509930,28/06/2023,1056,m2,6,jun-23,67236
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,511000,511280,05/07/2023,264,m2,7,jul-23,16809
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,513050,513150,06/07/2023,120,m2,7,jul-23,7640
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,514050,515320,07/07/2023,1524,m2,7,jul-23,97033
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,521400,521550,27/07/2023,180,m2,7,jul-23,11461
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,527700,527850,01/08/2023,180,m2,8,ago-23,11461
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,8.1,547185,548380,10/08/2023,1434,m2,8,ago-23,91303
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,520050,521815,21/08/2023,1.765,Km,8,ago-23,14347
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,513900,516950,22/08/2023,3.05,Km,8,ago-23,24793
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,518750,519700,22/08/2023,0.95,Km,8,ago-23,7722
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,527300,531965,25/08/2023,4.665,Km,8,ago-23,37921
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,531965,534000,26/08/2023,2.035,Km,8,ago-23,16542
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,534000,536000,28/08/2023,2,Km,8,ago-23,16258
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,536000,537600,29/08/2023,1.6,Km,8,ago-23,13006
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,537600,539950,31/08/2023,2.35,Km,8,ago-23,19103
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,539950,541450,01/09/2023,1.5,Km,9,sep-23,12193
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,541450,543450,02/09/2023,2,Km,9,sep-23,16258
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,543450,546450,04/09/2023,3,Km,9,sep-23,24386
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,546450,550450,05/09/2023,4,Km,9,sep-23,32515
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,550450,554060,06/09/2023,3.61,Km,9,sep-23,29345
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.14,497000,NA,06/09/2023,2,Hr,9,sep-23,2130
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,493331,501443,07/09/2023,8.112,Km,9,sep-23,35500
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.14,497000,NA,07/09/2023,9,Hr,9,sep-23,9585
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,501443,509522,08/09/2023,8.079,Km,9,sep-23,35355
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.14,509000,NA,08/09/2023,9,Hr,9,sep-23,9585
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,509522,516960,09/09/2023,7.438,Km,9,sep-23,32550
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.14,509000,NA,09/09/2023,9,Hr,9,sep-23,9585
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,518765,519700,11/09/2023,0.935,Km,9,sep-23,4092
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,519950,522550,11/09/2023,2.6,Km,9,sep-23,11378
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,526850,530950,11/09/2023,4.1,Km,9,sep-23,17942
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.9,520383,520383,11/09/2023,1,Medici�n,9,sep-23,397
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.14,521347,NA,11/09/2023,9,Hr,9,sep-23,9585
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,530950,538250,12/09/2023,7.3,Km,9,sep-23,31946
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.14,547600,NA,12/09/2023,9,Hr,9,sep-23,9585
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,538250,545485,13/09/2023,7.235,Km,9,sep-23,31662
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.14,547600,NA,13/09/2023,9,Hr,9,sep-23,9585
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.5,545485,554060,14/09/2023,8.575,Km,9,sep-23,37526
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.14,547600,NA,14/09/2023,9,Hr,9,sep-23,9585
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,519700,520050,15/09/2023,0.35,Km,9,sep-23,2845
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,521815,522550,15/09/2023,0.735,Km,9,sep-23,5975
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.4,526850,527300,15/09/2023,0.45,Km,9,sep-23,3658
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,6.2,0,NA,14/11/2023,1,pza,11,nov-23,45073
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,6.2,32090,NA,14/11/2023,1,pza,11,nov-23,45073
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,6.2,60866,NA,14/11/2023,1,pza,11,nov-23,45073
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,6.2,80500,NA,14/11/2023,1,pza,11,nov-23,45073
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,6.2,521347,NA,14/11/2023,1,pza,11,nov-23,45073
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.3,542055.4,542078,13/11/2023,700,m2,11,nov-23,107660
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,7.11,542055.4,542078,17/11/2023,652.63,m3,11,nov-23,178096
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,7.12,542055.4,542078,17/11/2023,211.2,m3,11,nov-23,69046
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.7,542055.4,542078,17/11/2023,2,Medici�n,11,nov-23,5020
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.11,542055.4,542078,27/11/2023,137.89,m2,11,nov-23,154776
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4_10,542055.4,542078,27/11/2023,137.89,m2,11,nov-23,310621
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,4.12,542055.4,542078,30/11/2023,139.04,m2,11,nov-23,456523
CENAGAS,Veracruz,GSD 48 EST 8 CARRANZA-EST 9 TECOLUTLA,7.15,542055.4,542078,30/11/2023,863.83,m3,11,nov-23,95851
